dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	74530	id_106048	43660	id_62231
1.0	123325	id_172146	85402	id_120766
0.99	161461	id_225043	45586	id_65068
0.96	18490	id_26868	18487	id_26865
1.0	121473	id_169484	1917	id_2812
1.0	149036	id_207825	11747	id_17022
0.91	111786	id_156007	85670	id_121040
1.0	95374	id_133174	84540	id_119752
1.0	84113	id_119004	84106	id_118996
1.0	67222	id_95188	67169	id_95135
0.91	178543	id_248252	77154	id_109443
0.97	156372	id_218195	86109	id_121625
1.0	158422	id_221021	120388	id_167906
1.0	150279	id_209379	150170	id_209270
1.0	161438	id_225020	16309	id_23554
0.97	145739	id_203098	50608	id_72024
1.0	114001	id_159245	113966	id_159210
1.0	186902	id_259611	177568	id_246991
1.0	142806	id_199012	49737	id_70946
1.0	142806	id_199012	49736	id_70944
1.0	144692	id_201745	130624	id_182306
1.0	185774	id_258216	101197	id_141528
0.93	140769	id_196463	9548	id_14004
0.97	301	id_302	272	id_273
1.0	178940	id_248663	4716	id_7088
1.0	125280	id_174795	39463	id_56296
1.0	142667	id_198858	142246	id_198434
1.0	183242	id_254830	119492	id_166686
1.0	115701	id_161345	64378	id_91214
1.0	139259	id_194042	139236	id_193981
1.0	67908	id_95955	5704	id_8483
0.98	68608	id_96828	68451	id_96666
1.0	97431	id_136124	53775	id_76378
1.0	82711	id_117260	76876	id_109050
1.0	122856	id_171561	122855	id_171560
1.0	145789	id_203158	119269	id_166417
1.0	129577	id_180895	129516	id_180816
1.0	161416	id_224998	27741	id_39577
0.93	10801	id_15671	10739	id_15609
1.0	31076	id_44403	3014	id_4502
1.0	49347	id_70331	49311	id_70293
1.0	30639	id_43664	7250	id_10765
1.0	129577	id_180895	129522	id_180823
1.0	78474	id_111597	59067	id_84086
1.0	158896	id_221570	158894	id_221568
0.93	23751	id_33941	23597	id_33787
0.88	179341	id_249208	12851	id_18533
0.91	101256	id_141593	101231	id_141562
1.0	6880	id_10241	6877	id_10238
1.0	136286	id_190111	70210	id_99144
1.0	113262	id_158128	106941	id_149398
1.0	164479	id_229204	164393	id_229118
0.92	178758	id_248467	178502	id_248211
1.0	101256	id_141593	101226	id_141557
0.91	101256	id_141593	101227	id_141558
1.0	147899	id_205976	147895	id_205972
0.97	94771	id_132444	94762	id_132435
1.0	147899	id_205976	147896	id_205973
0.96	105326	id_147174	32833	id_46641
1.0	161390	id_224972	140714	id_196407
1.0	84001	id_118887	83995	id_118881
1.0	77767	id_110433	46367	id_66331
1.0	13653	id_19718	13648	id_19713
1.0	59661	id_84936	52296	id_74416
1.0	84001	id_118887	83993	id_118879
0.97	115701	id_161345	64292	id_91090
1.0	141297	id_197190	83941	id_118822
1.0	80209	id_113964	17264	id_24950
1.0	80209	id_113964	17265	id_24951
1.0	80209	id_113964	17262	id_24948
1.0	80209	id_113964	17263	id_24949
1.0	119006	id_166138	119003	id_166135
1.0	80494	id_114362	80490	id_114358
0.99	161094	id_224649	79197	id_112589
1.0	163257	id_227647	97437	id_136134
0.92	144926	id_201986	32127	id_45752
1.0	80209	id_113964	17269	id_24961
1.0	80209	id_113964	17266	id_24952
1.0	153041	id_213291	153001	id_213237
0.92	109266	id_152490	46038	id_65714
1.0	155606	id_217045	122989	id_171748
0.97	179057	id_248862	178990	id_248795
1.0	139262	id_194057	104575	id_146265
1.0	177239	id_246651	177184	id_246592
0.99	69002	id_97337	63629	id_90213
0.91	141297	id_197190	131732	id_183846
1.0	69486	id_97951	30636	id_43654
1.0	163712	id_228246	147267	id_205211
1.0	144097	id_200956	40551	id_57838
1.0	126499	id_176311	126460	id_176269
0.91	109127	id_152347	48001	id_68513
1.0	126499	id_176311	126458	id_176267
1.0	180861	id_251266	145733	id_203091
1.0	139277	id_194111	107305	id_149948
0.88	65550	id_92821	65459	id_92723
0.97	173022	id_240996	12860	id_18542
1.0	49470	id_70503	49438	id_70470
1.0	140052	id_195426	60314	id_85867
0.99	105762	id_147762	77395	id_109790
1.0	92316	id_129461	21034	id_30278
1.0	47891	id_68346	25145	id_35823
1.0	147327	id_205271	147323	id_205267
1.0	178209	id_247749	178166	id_247703
1.0	77005	id_109227	77003	id_109225
0.97	127946	id_178592	64292	id_91090
1.0	7342	id_11050	7310	id_10935
1.0	153041	id_213291	153017	id_213263
1.0	46865	id_67058	46567	id_66750
1.0	147178	id_205114	147150	id_205086
0.94	149084	id_207874	90251	id_126902
1.0	107290	id_149911	87091	id_123073
1.0	167287	id_233065	167251	id_233028
0.98	170323	id_237338	170253	id_237264
0.98	170323	id_237338	170250	id_237261
0.91	116721	id_162882	30984	id_44222
1.0	87158	id_123140	87127	id_123109
0.96	88819	id_125179	88786	id_125146
1.0	163919	id_228482	73757	id_104909
1.0	59720	id_85007	59701	id_84987
1.0	84001	id_118887	83964	id_118849
1.0	84001	id_118887	83965	id_118850
1.0	84001	id_118887	83962	id_118847
0.95	46874	id_67067	9512	id_13963
1.0	84001	id_118887	83966	id_118851
1.0	84001	id_118887	83960	id_118845
1.0	84001	id_118887	83961	id_118846
1.0	11285	id_16245	11263	id_16194
1.0	161390	id_224972	44784	id_63944
1.0	140238	id_195703	129267	id_180411
1.0	141860	id_197945	74904	id_106580
1.0	166042	id_231322	112634	id_157080
1.0	84001	id_118887	83978	id_118864
1.0	44878	id_64044	44804	id_63967
1.0	44878	id_64044	44805	id_63968
1.0	116427	id_162539	41018	id_58434
1.0	46443	id_66550	32010	id_45632
1.0	57822	id_82254	57818	id_82250
1.0	150965	id_210514	3932	id_5832
1.0	97864	id_136607	97848	id_136585
1.0	89840	id_126422	89597	id_126156
1.0	44878	id_64044	44837	id_64002
1.0	106962	id_149419	5437	id_8003
1.0	113060	id_157830	18452	id_26822
1.0	50985	id_72499	50981	id_72493
1.0	26790	id_37964	7048	id_10530
0.96	159437	id_222184	152276	id_212288
1.0	84001	id_118887	83953	id_118838
1.0	150484	id_209638	150479	id_209631
1.0	84001	id_118887	83954	id_118839
1.0	84001	id_118887	83952	id_118837
1.0	65656	id_92953	65602	id_92888
1.0	84001	id_118887	83957	id_118842
1.0	84001	id_118887	83958	id_118843
1.0	171710	id_239316	3900	id_5800
1.0	44878	id_64044	44825	id_63990
1.0	107053	id_149512	59567	id_84747
1.0	8011	id_11852	8003	id_11844
1.0	100575	id_140623	83623	id_118424
1.0	111734	id_155949	111729	id_155944
1.0	135630	id_189126	57658	id_82066
1.0	185879	id_258332	185867	id_258320
1.0	113669	id_158592	113566	id_158485
0.88	167088	id_232865	62405	id_88681
1.0	74530	id_106048	43725	id_62296
1.0	66094	id_93516	13553	id_19545
1.0	107054	id_149513	59568	id_84748
1.0	141326	id_197226	92358	id_129503
0.92	173301	id_241418	147278	id_205222
1.0	135130	id_188497	73315	id_104398
1.0	102042	id_142636	28461	id_40410
1.0	81509	id_115670	81361	id_115511
1.0	46587	id_66770	46560	id_66743
0.93	171896	id_239549	167668	id_233626
0.9	166390	id_231903	90251	id_126902
1.0	139255	id_194035	74529	id_106047
1.0	113669	id_158592	113583	id_158502
1.0	106860	id_149316	74909	id_106599
1.0	160287	id_223442	160284	id_223439
0.97	84045	id_118932	46023	id_65683
1.0	74911	id_106621	28461	id_40410
0.89	68138	id_96230	68132	id_96224
1.0	160287	id_223442	160279	id_223433
1.0	109919	id_153483	109911	id_153468
1.0	107417	id_150135	7313	id_10945
1.0	171951	id_239605	12856	id_18538
1.0	97827	id_136563	97824	id_136560
1.0	84150	id_119042	84106	id_118996
1.0	136152	id_189947	123396	id_172221
